arxiv_id,arxiv_version,title,relevance,confidence,decoder_name,decoder_family,decoder_description,error_models,simulation_levels,codes,headline_claims,thresholds,runtime_scaling,limitations,code_repos,abs_url,pdf_url,missing_fields
0712.2888,v2,Quantum serial turbo-codes,relevant,0.55,Unknown / not specified,Unknown / not specified,Unknown / not specified from available text.,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Full paper text not analyzed; extraction limited to metadata/abstract.,Unknown / not specified,https://arxiv.org/abs/0712.2888v2,https://arxiv.org/pdf/0712.2888v2,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls
0712.4115,v3,A Class of Quantum LDPC Codes Constructed From Finite Geometries,relevant,0.55,Unknown / not specified,Unknown / not specified,Unknown / not specified from available text.,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Full paper text not analyzed; extraction limited to metadata/abstract.,Unknown / not specified,https://arxiv.org/abs/0712.4115v3,https://arxiv.org/pdf/0712.4115v3,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls
1008.4747,v4,Entanglement-assisted quantum low-density parity-check codes,relevant,0.55,Unknown / not specified,Unknown / not specified,Unknown / not specified from available text.,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Full paper text not analyzed; extraction limited to metadata/abstract.,Unknown / not specified,https://arxiv.org/abs/1008.4747v4,https://arxiv.org/pdf/1008.4747v4,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls
1108.0679,v4,A characterization of entanglement-assisted quantum low-density parity-check codes,relevant,0.55,Unknown / not specified,Unknown / not specified,Unknown / not specified from available text.,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Full paper text not analyzed; extraction limited to metadata/abstract.,Unknown / not specified,https://arxiv.org/abs/1108.0679v4,https://arxiv.org/pdf/1108.0679v4,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls
1202.0357,v1,Channel Identification and its Impact on Quantum LDPC Code Performance,relevant,0.55,Unknown / not specified,Unknown / not specified,Unknown / not specified from available text.,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Full paper text not analyzed; extraction limited to metadata/abstract.,Unknown / not specified,https://arxiv.org/abs/1202.0357v1,https://arxiv.org/pdf/1202.0357v1,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls
1202.3338,v1,New constructions of CSS codes obtained by moving to higher alphabets,relevant,0.55,Unknown / not specified,Unknown / not specified,Unknown / not specified from available text.,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Full paper text not analyzed; extraction limited to metadata/abstract.,Unknown / not specified,https://arxiv.org/abs/1202.3338v1,https://arxiv.org/pdf/1202.3338v1,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls
1204.4223,v2,Improved Quantum LDPC Decoding Strategies For The Misidentified Quantum Depolarizing Channel,relevant,0.55,Unknown / not specified,Unknown / not specified,Unknown / not specified from available text.,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Full paper text not analyzed; extraction limited to metadata/abstract.,Unknown / not specified,https://arxiv.org/abs/1204.4223v2,https://arxiv.org/pdf/1204.4223v2,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls
1207.0732,v1,Quantum LDPC Codes Constructed from Point-Line Subsets of the Finite Projective Plane,relevant,0.55,Unknown / not specified,Unknown / not specified,Unknown / not specified from available text.,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Full paper text not analyzed; extraction limited to metadata/abstract.,Unknown / not specified,https://arxiv.org/abs/1207.0732v1,https://arxiv.org/pdf/1207.0732v1,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls
1311.7688,v2,Spin glass reflection of the decoding transition for quantum error correcting codes,relevant,0.55,Unknown / not specified,Unknown / not specified,Unknown / not specified from available text.,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Full paper text not analyzed; extraction limited to metadata/abstract.,Unknown / not specified,https://arxiv.org/abs/1311.7688v2,https://arxiv.org/pdf/1311.7688v2,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls
1711.08351,v2,Efficient decoding of random errors for quantum expander codes,relevant,0.55,Unknown / not specified,Unknown / not specified,Unknown / not specified from available text.,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Unknown / not specified,Full paper text not analyzed; extraction limited to metadata/abstract.,Unknown / not specified,https://arxiv.org/abs/1711.08351v2,https://arxiv.org/pdf/1711.08351v2,decoder.name; decoder.algorithm_outline; decoder.complexity_claims; performance_claims.thresholds; performance_claims.runtime_scaling_claims; simulations; links.code_repo_urls
